denomination_name,denomination_id,published_churches_count,churches_urban,churches_rural,members_total,members_urban,members_rural,members_average_total,members_average_urban,members_average_rural,members_male,members_female,members_sex_unreported,members_over_13,members_under_13,members_age_unreported,church_edifices,churches_reporting_value,churches_value,churches_average_value,churches_reporting_debt,churches_debt,urban_church_edifices,urban_churches_reporting_value,urban_churches_value,urban_churches_average_value,urban_churches_reporting_debt,urban_churches_debt,rural_church_edifices,rural_churches_reporting_value,rural_churches_value,rural_churches_average_value,rural_churches_reporting_debt,rural_churches_debt,churches_reporting_expenditures,total_expenditures,expenses,benevolences,unclassified_expenditures,expenditures_average,urban_churches_reporting_expenditures,urban_total_expenditures,urban_expenses,urban_benevolences,urban_unclassified_expenditures,urban_expenditures_average,rural_churches_reporting_expenditures,rural_total_expenditures,rural_expenses,rural_benevolences,rural_unclassified_expenditures,rural_expenditures_average,parsonage_value_churches_reporting,parsonage_value,parsonage_value_average,parsonage_debt_churches_reporting,parsonage_debt,sunday_schools_churches_reporting,sunday_schools_officers_teachers,sunday_schools_scholars,sunday_schools_scholars_average,urban_sunday_schools_churches_reporting,urban_sunday_schools_officers_teachers,urban_sunday_schools_scholars,urban_sunday_schools_scholars_average,rural_sunday_schools_churches_reporting,rural_sunday_schools_officers_teachers,rural_sunday_schools_scholars,rural_sunday_schools_scholars_average,Start Table 33,black_part_whole_churches,black_churches_total ,black_churches_urban,black_churches_rural,black_members_total,black_members_urban,black_members_rural,black_members_average_total,black_members_average_urban,black_members_average_rural,black_members_male,black_members_female,black_members_sex_unreported,Start Table 34,black_church_edifices,black_churches_reporting_value,black_churches_value,black_churches_average_value,black_churches_reporting_debt,black_churches_debt,black_urban_church_edifices,black_urban_churches_reporting_value,black_urban_churches_value,black_urban_churches_average_value,black_urban_churches_reporting_debt,black_urban_churches_debt,black_rural_church_edifices,black_rural_churches_reporting_value,black_rural_churches_value,black_rural_churches_average_value,black_rural_churches_reporting_debt,black_rural_churches_debt,Start Table 35,black_churches_reporting_expenditures,black_total_expenditures,black_expenses,black_benevolences,black_unclassified_expenditures,black_expenditures_average,black_urban_churches_reporting_expenditures,black_urban_total_expenditures,black_urban_expenses,black_urban_benevolences,black_urban_expenditures_average,black_rural_churches_reporting_expenditures,black_rural_total_expenditures,black_rural_expenses,black_rural_benevolences,black_rural_expenditures_average,Start Table 36,black_parsonage_value_churches_reporting,black_parsonage_value,black_parsonage_value_average,black_parsonage_debt_churches_reporting,black_parsonage_debt,black_sunday_schools_churches_reporting,black_sunday_schools_officers_teachers,black_sunday_schools_scholars,black_sunday_schools_scholars_average,black_urban_sunday_schools_churches_reporting,black_urban_sunday_schools_officers_teachers,black_urban_sunday_schools_scholars,black_urban_sunday_schools_scholars_average,black_rural_sunday_schools_churches_reporting,black_rural_sunday_schools_officers_teachers,black_rural_sunday_schools_scholars,black_rural_sunday_schools_scholars_average
Old German Baptist Brethern,0-2-7,62,6,56,3036,413,2623,49,69,47,1230,1806,NA,3036,NA,NA,66,59,161450,2736,NA,NA,6,6,29600,4933,NA,NA,60,53,131850,2488,NA,NA,53,18781,13533,5084,164,354,5,8552,8046,506,NA,1710,48,10229,5487,4578,164,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Brethern Church ' (Progressive Dunkers),0-2-8,174,53,121,26026,12089,13937,150,228,115,10835,15161,30,22366,2007,1653,176,166,2274064,13699,37,236814,51,48,1459500,30406,22,186614,125,118,814564,6903,15,50200,166,523681,447977,75704,NA,3155,49,307996,263251,44745,NA,6286,117,215685,184726,30959,NA,1843,56,258200,4611,17,50600,160,2445,22917,143,50,1042,11614,232,110,1403,11303,103,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seventh Day Baptists (German, 1728)",0-2-9,4,1,3,144,19,125,36,NA,42,62,82,NA,142,2,NA,4,4,18000,4500,NA,NA,1,1,5000,NA,NA,NA,3,3,13000,4333,NA,NA,3,2400,1000,900,500,800,1,1900,1000,900,NA,NA,2,500,NA,NA,500,250,1,2000,NA,NA,NA,3,24,144,48,1,3,28,NA,2,21,116,58,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Church of God (New Dunkers),0-3-0,9,3,6,650,137,513,72,46,86,270,305,75,566,9,75,9,9,26000,2889,1,200,3,3,8500,2833,1,200,6,6,17500,2917,NA,NA,9,4005,3378,327,300,445,3,1683,1406,277,NA,561,6,2322,1972,50,300,387,NA,NA,NA,NA,NA,9,95,531,59,3,28,183,61,6,67,348,58,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plymouth Brethren I,0-3-1,166,117,49,4877,4145,732,29,35,15,2024,2848,5,4848,14,15,43,43,260460,6057,18,63849,28,28,230555,8234,17,62779,15,15,29905,1994,1,1070,152,166929,79320,87609,NA,1098,111,146060,72659,73401,NA,1316,41,20869,6661,14208,NA,509,NA,NA,NA,NA,NA,110,501,5323,48,85,414,4199,49,25,87,1124,45,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plymouth Brethren II,0-3-2,307,230,77,13497,11704,1793,44,51,23,5527,7930,40,13380,77,40,108,108,909952,8425,46,188031,83,83,847227,10208,39,180531,25,25,62725,2509,7,7500,286,369416,197881,170463,1072,1292,216,334418,182990,150356,1072,1548,70,34998,14891,20107,NA,500,NA,NA,NA,NA,NA,239,1340,13634,57,187,1164,11392,61,52,176,2242,43,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plymouth Brethren III,0-3-3,24,16,8,684,591,93,29,37,12,294,390,NA,683,1,NA,1,1,5000,NA,1,4000,1,1,5000,NA,1,4000,NA,NA,NA,NA,NA,NA,20,11931,6694,5237,NA,597,15,10899,6544,4355,NA,727,5,1032,150,882,NA,206,NA,NA,NA,NA,NA,14,32,352,25,9,25,248,28,5,7,104,21,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plymouth Brethren IV,0-3-4,47,34,13,1663,1407,256,35,41,20,651,962,50,1555,NA,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,41578,22376,16926,2276,1014,30,38025,20097,15652,2276,1268,11,3553,2279,1274,NA,323,NA,NA,NA,NA,NA,5,9,132,26,2,4,57,29,3,5,75,25,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plymouth Brethren V,0-3-5,83,56,27,2152,1710,442,26,31,16,892,1249,11,2103,32,17,3,3,5200,1733,NA,NA,1,1,4500,NA,NA,NA,2,2,700,350,NA,NA,69,45825,21129,24696,NA,664,48,41236,20041,21195,NA,859,21,4589,1088,3501,NA,219,NA,NA,NA,NA,NA,45,133,1332,30,33,111,1051,32,12,22,281,23,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plymouth Brethren VI,0-3-6,6,5,1,88,62,26,15,12,NA,38,50,NA,77,4,7,1,1,6000,NA,1,1800,NA,NA,NA,NA,NA,NA,1,1,6000,NA,1,1800,6,2311,1073,1238,NA,385,5,1414,556,858,NA,283,1,897,517,380,NA,NA,NA,NA,NA,NA,NA,2,5,38,19,1,1,8,NA,1,4,30,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brethren in Christ,0-3-7,81,19,62,4320,1036,3284,53,55,53,1862,2458,NA,3776,174,370,78,72,348860,4845,2,5172,20,18,146460,8137,1,4872,58,54,202400,3748,1,300,74,92901,39179,53722,NA,1255,17,39682,22568,17114,NA,2334,57,53219,16611,36608,NA,934,4,12750,3188,NA,NA,63,694,5057,80,16,177,1492,93,47,517,3565,76,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Old Order or Yorker Brethren,0-3-8,10,NA,10,472,NA,472,47,NA,47,176,296,NA,472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,500,NA,200,300,83,NA,NA,NA,NA,NA,NA,6,500,NA,200,300,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Zion's Children,0-3-9,28,5,23,905,238,667,32,48,29,369,488,48,724,5,176,22,22,78000,3545,NA,NA,5,5,31500,6300,NA,NA,17,17,46500,2735,NA,NA,18,5683,4546,1137,NA,316,1,1437,1012,425,NA,NA,17,4246,3534,712,NA,250,NA,NA,NA,NA,NA,7,48,387,55,2,20,160,80,5,28,227,45,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Catholic Apostolic Church,0-4-2,11,11,NA,3408,3408,NA,310,310,NA,1427,1981,NA,2869,539,NA,7,7,407000,58143,1,1300,7,7,407000,58143,1,1300,NA,NA,NA,NA,NA,NA,10,119583,88375,31208,NA,11958,10,119583,88375,31208,NA,11958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,16,175,58,3,16,175,58,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christadelphians,0-4-3,134,93,41,3352,2658,694,25,29,17,1384,1937,31,3202,31,119,20,18,88100,4894,4,17850,10,10,74900,7490,3,17350,10,8,13200,1650,1,500,102,45740,22636,21787,1317,448,77,42270,21175,19953,1142,549,25,3470,1461,1834,175,139,NA,NA,NA,NA,NA,72,292,1859,26,57,240,1519,27,15,52,340,23,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christian and Missionary Alliance,0-4-4,332,221,111,22737,18988,3749,68,86,34,8539,14043,155,21874,743,120,268,254,3565375,14037,153,859635,187,176,3263775,18544,121,815703,81,78,301600,3867,32,43932,320,1345434,837663,490075,17696,4204,215,1217324,753517,446111,17696,5662,105,128110,84146,43964,NA,1220,102,566225,5551,47,130535,301,3117,25930,86,206,2364,20711,101,95,753,5219,55,,332,10,9,1,535,510,25,54,57,NA,198,337,NA,,6,6,57625,9604,3,23050,5,5,55625,11125,3,23050,1,1,2000,NA,NA,NA,,10,19177,12907,6270,NA,1918,9,18977,12707,6270,2109,1,200,200,NA,NA,,1,1875,NA,1,1250,8,57,490,61,7,54,465,66,1,3,25,NA
Christian Church (General Convention of the Christian Church),0-4-5,1044,135,909,112795,28079,84716,108,208,93,45157,62111,5527,93500,7411,11884,988,976,7202193,7379,103,581027,123,120,3457771,28815,38,462480,865,856,3744422,4374,65,118547,1004,1353379,1149610,199990,3779,1348,135,572583,489184,82965,434,4241,869,780796,660426,117025,3345,898,229,927133,4049,43,112685,938,10011,85478,91,131,2128,23298,178,807,7883,62180,77,,1044,68,18,50,7312,1705,5607,108,95,112,2690,4622,NA,,56,56,285100,5091,15,15401,8,8,168000,21000,3,11000,48,48,117000,2440,12,4401,,68,45739,38267,7038,434,673,18,23465,21253,1778,1304,50,22274,17014,5260,445,,1,5000,NA,NA,NA,63,433,3348,52,16,123,955,60,48,310,2393,50
Christian Science Parent Church,2-1-9,29,28,1,582,574,8,20,21,NA,144,438,NA,578,4,NA,1,1,4000,NA,1,2100,1,1,4000,NA,1,2100,NA,NA,NA,NA,NA,NA,23,50341,38244,9099,2998,2189,22,50143,38184,8961,2998,2279,1,198,60,138,NA,NA,NA,NA,NA,NA,NA,15,48,149,10,14,43,144,10,1,5,5,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christian Union,0-4-6,137,13,124,8791,1382,7409,64,106,60,3784,4857,150,6653,492,1646,123,118,370784,3142,4,3360,11,11,83000,7545,NA,NA,112,107,287784,2690,4,3360,122,65209,56414,6310,2485,535,12,15531,13924,890,717,1294,110,49678,42490,5420,1768,452,11,24500,2227,1,1500,101,926,6789,67,11,114,1329,121,90,812,5460,61,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Church of Armenia in America,0-0-6,29,26,3,28181,26822,1359,972,1032,453,14147,10956,3078,17422,7395,3364,18,17,476000,28000,12,136600,15,14,459000,32786,11,135200,3,3,17000,5667,1,1400,23,114793,98780,9444,6569,4991,20,108824,94280,8544,6000,5441,3,5969,4500,900,569,1990,5,43500,8700,1,10000,13,57,1134,87,10,52,1000,100,3,5,134,45,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Church of Christ (Holiness) U.S.A,,82,46,36,4919,3002,1917,60,65,53,1589,2942,388,3990,422,507,69,68,326850,4807,20,79224,37,36,274750,7632,13,76153,32,32,52100,1628,7,3071,64,48968,36532,8191,4245,765,33,36006,27776,4718,3512,1091,31,12962,8756,3473,733,418,11,30500,2773,6,4222,72,460,2511,35,40,249,1482,37,32,211,1029,32,,82,82,46,36,4919,3002,1917,60,65,53,1589,2942,388,,69,68,326850,4807,20,79224,37,36,274750,7632,13,76153,32,32,52100,1628,7,3071,,64,48968,36532,8191,4245,765,33,36006,27776,4718,1091,31,12962,8756,3473,418,,11,30500,2773,6,4222,72,460,2511,35,40,249,1482,37,32,211,1029,32
"Church of Christ , Scientist ",2-0-6,1913,1504,409,202098,131657,8424,73,88,21,33700,103578,64820,202098,NA,NA,1206,1185,69416744,58580,411,9638400,1004,985,68142292,69180,352,9447789,202,200,1274452,6372,59,190611,1859,14202116,11809738,2312540,79838,7640,1467,13662643,11358434,2229176,75033,9313,392,539473,451304,83364,4805,1376,NA,NA,NA,NA,NA,1655,27439,140566,85,1347,25729,133145,99,308,1710,7421,24,,1913,1,1,NA,274,274,NA,NA,NA,NA,70,204,NA,,1,1,254061,NA,1,233561,1,1,254601,NA,1,233561,NA,NA,NA,NA,NA,NA,,1,38995,32397,6598,NA,NA,1,38995,32397,6598,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,1,72,395,NA,1,72,395,NA,NA,NA,NA,NA
Church of God,,644,168,476,23247,7903,15344,36,47,32,7358,15848,41,20716,740,1791,379,373,718329,1926,119,85885,109,107,408470,3817,52,59251,270,266,309859,1165,67,26634,471,290981,241505,44972,4504,618,129,145423,123323,21532,568,1127,342,145558,118182,23440,3936,426,50,58075,1162,14,11270,420,2644,21377,50,131,884,7746,59,298,1760,13631,46,,644,29,7,22,887,318,569,31,45,26,296,591,NA,,15,15,78015,5201,10,19737,5,5,57000,11400,2,15240,10,10,21015,2102,8,4497,,25,39064,34555,3909,600,1563,6,21644,19750,1894,3607,19,17420,14805,2015,917,,2,6000,3000,NA,NA,24,138,901,38,7,40,246,35,17,98,655,39
"Church of God (Headquarters, Anderson, Ind.)",2-0-5,932,428,504,38249,24643,13608,41,58,27,14318,23142,789,31862,1416,4971,717,697,3541102,5080,314,726126,343,335,2672880,7979,216,641595,374,362,868222,2398,98,84531,817,1115121,895891,177601,41629,1365,395,844070,692897,121041,30132,2137,422,271051,202994,56560,11497,642,123,414950,3374,63,97690,819,6469,61448,75,392,3728,37687,96,427,2741,23761,56,,932,98,54,44,3165,2404,761,32,45,17,1072,2093,NA,,81,77,343450,4460,29,66367,48,45,305150,6781,21,64702,33,32,38300,1197,8,1665,,82,86094,75573,9030,1491,1050,46,77258,68591,7206,1680,36,8836,6982,1824,245,,9,60200,6089,2,13700,89,499,3131,35,52,350,2296,44,37,149,825,23
Church of God and Saints of Christ,0-4-7,112,101,11,6741,6055,686,60,60,62,2539,4202,NA,5316,1425,NA,49,48,149210,3109,20,30219,43,42,138860,3306,19,30130,6,6,10350,1725,1,89,100,137345,76414,53917,7014,1373,91,129220,72297,52716,4207,1420,9,8125,4117,1201,2807,903,23,68450,2976,9,17439,67,303,2010,30,60,262,1751,29,7,41,259,37,,112,112,101,11,6741,6055,686,60,60,62,2539,4202,NA,,49,48,149210,3109,20,30219,43,43,138860,3306,19,30130,6,6,10350,1725,1,89,,100,137345,76414,53917,7014,1373,91,129220,72297,52716,1420,9,8125,4117,1201,903,,23,68450,2976,9,17439,67,303,2010,30,60,262,1751,29,7,41,259,37
Church of God in Christ,2-3-4,733,406,328,30263,20805,9458,41,51,29,9077,20873,313,23291,2071,4901,531,516,1508079,2923,234,261611,300,288,1274353,4425,160,242061,231,228,233726,1025,74,19550,624,516011,394773,90384,30854,827,359,417906,322234,70874,24798,1164,265,98105,72539,19510,6056,370,48,85000,1771,25,22941,585,3216,19282,33,331,2011,12666,38,254,1205,6616,26,,733,733,405,328,30263,20805,9458,41,51,29,9077,20873,313,,141,141,139919,992,21,4816,49,49,90010,1837,7,3301,92,92,49909,542,14,1515,,624,516011,394773,90384,30854,827,359,417906,322234,70874,1164,265,98105,72539,19510,370,,48,85000,1771,25,22941,585,3216,19282,33,331,2011,12666,38,254,1205,6616,26
Church of the Nazarene,1-5-9,1444,640,804,63558,40823,22735,44,64,28,22106,38111,3341,55991,3077,4490,1173,1113,7323718,6580,584,1611274,548,522,5776575,11066,375,1397771,625,591,1547143,2618,209,213503,1340,3124444,2434513,633263,56668,2332,599,2265199,1792630,434040,38529,3782,741,859245,641883,199223,18139,1160,483,1238006,2563,213,324797,1233,13015,109237,89,599,7663,71195,119,634,5352,38042,60,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Churches of Christ,0-4-9,6226,896,5330,433714,104571,329143,70,117,62,176836,253130,3748,NA,NA,433714,5127,5089,16402158,3223,586,1511547,733,719,7402986,10296,269,1204833,4394,4370,8999172,2059,317,306714,5975,3961310,3223000,596343,141967,663,875,1784775,1476745,244534,63496,2040,5100,2176535,1746255,351809,78471,427,136,453050,3331,47,79365,4403,20595,274571,62,716,4538,71185,99,3687,16057,203386,55,,6226,214,80,134,8155,3580,4575,38,45,34,3296,4839,20,,141,141,139919,992,21,4861,49,49,90010,1837,7,3301,92,92,49909,542,14,1515,,212,40996,34886,5595,515,193,80,26373,22069,4304,330,132,14623,12817,1291,111,,NA,NA,NA,NA,NA,177,505,5905,33,71,233,2819,40,106,272,1086,29
"Churches of God, Holiness",2-4-3,29,24,5,2278,1929,349,79,80,70,830,1410,38,1865,400,13,16,16,159700,9981,7,71375,11,11,152500,13864,6,71350,5,5,7200,1440,1,25,26,35878,27878,8000,NA,1380,21,34693,26769,7924,NA,1652,5,1185,1109,76,NA,237,2,16700,8350,1,10000,27,174,1246,46,22,148,1066,48,5,26,180,36,,29,29,24,5,2278,1929,349,79,80,70,830,1410,38,,16,16,159700,9981,7,71375,11,11,152500,13864,6,71350,5,5,7200,1440,1,25,,26,35878,27878,8000,NA,1380,21,34693,26769,7924,1652,5,1185,1109,76,237,,2,16700,8350,1,10000,27,174,1246,46,22,148,1066,48,5,26,180,36
Churches of God in North America(General Eldership),0-5-1,428,70,358,31596,11324,20272,74,162,57,12182,17569,1845,25689,1606,4301,393,384,3211328,8363,44,312424,68,64,1755768,27434,23,252385,325,320,1455560,4549,21,60039,385,549002,451971,88259,8772,1426,63,238995,198155,40775,65,3794,322,310007,253816,47484,8707,963,122,506550,4152,14,39200,372,4640,40559,109,67,1294,14363,214,305,3346,26196,86,,428,7,2,5,274,55,219,39,38,44,103,171,NA,,5,3,8000,2667,NA,NA,3,1,6200,NA,NA,NA,2,2,1800,900,NA,NA,,7,2380,2066,249,65,340,2,1609,1428,116,805,5,771,638,133,154,,NA,NA,NA,NA,NA,7,33,298,43,2,13,109,55,5,20,189,38
"Church of the Living God, Christian Workers for Fellowship",0-5-3,149,82,67,11558,7289,4269,78,89,64,3964,7594,NA,11329,104,65,141,139,368935,2654,27,26460,77,75,268750,3583,21,24240,64,64,100185,1565,6,2220,144,50515,45989,4526,NA,351,80,36626,33164,3462,NA,458,64,13889,12825,1064,NA,217,4,6300,1575,2,1700,140,444,3465,25,77,285,2171,28,63,159,1294,21,,149,149,82,67,1158,7289,4269,78,89,64,3964,7594,NA,,141,139,368935,2654,27,26460,77,75,268750,3583,21,24240,64,64,100185,1565,6,2220,,144,50515,45989,4526,NA,351,80,36626,33164,3462,458,64,13889,12825,1064,217,,4,6300,1575,2,17000,140,444,3465,25,77,285,2171,28,63,159,1294,21
"Churches of Living God, ""The Pillar and Ground of Truth""",0-5-2,81,45,36,5844,3886,1958,72,86,54,3247,2597,NA,4879,965,NA,84,81,170547,2106,45,29277,48,45,126665,2815,30,24960,36,36,43882,1219,15,4317,81,64555,51284,13271,NA,797,45,43338,32682,10656,NA,963,36,21217,18602,2615,NA,589,14,25100,1793,2,3350,26,169,1468,56,19,132,1177,62,7,37,291,42,,81,81,45,36,5844,3886,1958,72,86,54,3247,2597,NA,,84,81,170547,2106,45,29277,48,45,126665,2815,30,24960,36,36,43882,1219,15,4317,,81,64555,51284,13271,NA,797,45,43338,32682,10656,963,36,21217,18602,2615,589,,14,25100,1793,2,3350,26,169,1468,56,19,132,1177,62,7,37,291,42
General Convention of the New Jerusalem,0-5-5,85,70,15,5442,4962,480,64,71,32,2133,3279,30,5103,99,240,63,57,3196100,56072,12,75500,50,47,3143300,66879,11,71900,13,10,52800,5280,1,3600,77,260373,235826,19070,5477,3381,63,244375,220127,18771,5477,3879,14,15998,15699,299,NA,1143,16,190500,11906,2,12600,58,391,2621,45,50,342,2355,47,8,49,266,33,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
